question,answer,product_name,link,advantages,terms,conditions,benefits,requirements,metadata
Can you explain the terms for EBRD syndication loan?,Not Provided,EBRD syndication loan,https://xacbank.mn/product/90?lang=en,XacBank has launched long term loan under the syndication agreement concluded with European Bank for Reconstruction and Development which aims to provide support for small and medium business through long term financing and technical assistance.,Not Provided,Not Provided,Not Provided,"Environmental Impact Assessment /safe and healthy environment/;
Detailed market risk study;
Health condition of loan applicant;
Financial ratio.
For more details on syndication, please refer to XacBank Business Service Centers.",Not Provided
Where can I learn more about Classic card?,https://xacbank.mn/product/46?lang=en,Classic card,https://xacbank.mn/product/46?lang=en,"Purchase goods and services from domestic websites promptly;
    Use your payment card with ease when you travel;
    Make non-cash payments without any fees and commissions;
    Latest chip technology of highest security;
    Secure online payments;","Terms and conditions:
Conditions
	Fees and charges
Card validity
	5 years
Annual fee
	MNT 10,000
Maximum daily cash withdrawal limit
	MNT 5,000,000
Maximum daily purchase limit (POS transaction)
	MNT 5,000,000
Card replacement fee
	MNT 10,000
PIN code recovery at branch
	MNT 1,000
PIN code change at ATM
	MNT 0
Cash withdrawal
	XacBank ATM
	MNT 0
In abroad /АТМ, POS/	1.5% or equal to MNT 3000
At XacBank branch /USD/
	0.25%
At XacBank branch /MNT/
	MNT 200
Balance inquire on an ATM	XacBank ATM	MNT 0
Other domestic banks' ATM
	MNT 100
Abroad bank ATM
	MNT 1000 or equal currency",Not Provided,Not Provided,"If Mongolian citizen - Id or international passport of Mongolia;
    If foreign citizen - Certificate of alien registration;","Maximum daily cash withdrawal limit

5,000,000 MNT

Maximum daily purchase limit (POS)

5,000,000 MNT

XacBank атм cash out fee

0 mnt"
What are the benefits of using Internet banking?,"Internet banking functions ...
Interbank transactions;
Transactions within XacBank accounts;
International transactions via SWIFT;
Create standing orders to set automatic transfers;
Receive and print account statements;
Check the balance in any of your accounts;
Check loan repayment schedule;
Reminders of expiry date for savings accounts, cards, and loan repayment dates.",Internet banking,https://xacbank.mn/product/74?lang=en,"Internet banking services will provide you and your business with our complete range of services in a simple, reliable, and safe way regardless of time while saving your valuable time and space.",Not Provided,Not Provided,"Internet banking functions ...
Interbank transactions;
Transactions within XacBank accounts;
International transactions via SWIFT;
Create standing orders to set automatic transfers;
Receive and print account statements;
Check the balance in any of your accounts;
Check loan repayment schedule;
Reminders of expiry date for savings accounts, cards, and loan repayment dates.","Internet banking advantages ...
Safety – All transactions will be validated by authorized staff of the organization.

Additionally, it is possible to change staff authorization rights according to client specifications.

Reliability – To ensure security of transactions and confidentiality of your account we use modern world-class security and a variety of technologies and tools, including THAWTE certificate and Vasco device.

Fast – While all your transactions are made online you can simultaneously obtain any account balance or statement as well. 

Easy - From any device connected to the Internet, you can use Internet banking services regardless of the time and place.","Apply at any XacBank branch to set up Internet Banking service agreement; the following documents are required:

Copy of state registration certificate for legal entity;
Copy of electronic ID card of employees authorized to use internet banking service /not required to be certified by notary/;
Completed application for Internet Banking /Bank official form/.
To apply for Internet banking service, it is mandatory to have an opened account at XacBank."
Can you explain the terms for Market news and information providing services?,Not Provided,Market news and information providing services,https://xacbank.mn/product/120?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the requirements for Not Provided?,Not Provided,Not Provided,https://xacbank.mn/product/115?lang=en,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
Where can I learn more about Demand deposit?,https://xacbank.mn/product/8?lang=en,Demand deposit,https://xacbank.mn/product/8?lang=en,"No limits in deposit/withdrawal transactions;
    Interest is calculated in compound basis monthly;
    Interest rate increase as the balance in your savings deposit goes up;
    You can manage your bank account, check account balance and make transactions using internet and mobile bank services without coming to a bank office upon registering for E-banking service.","Terms and Conditions:
CURRENCY
	MINIMUM
BALANCE
REQUIREMENT
	INTEREST RATES /ANNUAL/
ACCOUNT BALANCE	Nominal
	Effective*
MNT
	10,000
	up to 50 million MNT	3.60%
	3.66%
above 50 million MNT
	4.80%
	4.91%
USD
	10
	
	1.00%	1.00%
EURO
	10
	
	1.00%
	1.00%
CNY
	50
	
	0.80%
	0.80%
JPY	1,000,000
	
	1.00%
	1.00%
Fees on closing accounts
	
	3,000 MNT

* Effective interest rate is same as Annual percentage yield which means a normalized representation of an interest rate, based on a compounding period of one year","services
	Fee
Mnt
	USD
	eur
	cny
	jpy
Income transaction
	Non-cash income
	No commission
Cash income
	No commission
	0.20%
Non-cash withdrawal
	Transaction between XacBank accounts
	Internet banking transaction fee - No fee
Transaction fee at the branches - 100₮
Transaction between banks
	200₮*
	3	0.5
	1,000₮
	-
Cash withdrawal**
	Cash	200₮
	0-10,000 USD түүнтэй тэнцэх - 5,000 төгрөг
10,000-100,000 USD түүнтэй тэнцэх - 10,000 төгрөг
100,000 USD-с дээш түүнтэй тэнцэх - 20,000 төгрөг
Non-cash1
	200₮
	0.50%
	0.50%
	1.00%
	0.50%
Cash income transaction between banks
	2,000₮
Correcting the transaction as customer’s request
	500₮

*300 MNT for interbank non-cash transactions over 5 million MNT

**Withdrawal in the currency or in MNT /as exchange rate of the day/ for the local branches. Reserve a cash withdrawal within one business day if the withdrawal amount is $100,000 or above.

1Except loan disbursement transaction.","If you wish to make withdrawal/deposit any time you want, we recommend you XacBank's demand deposit product.","If Mongolian citizen - ID card 
    If foreign citizen:
        Passport – with customer’s photo, name/surname, age, and date of birth;
        Certificate of alien registration.","Minimum balance requirement

10,000 mnt

nominal interest rate

MNT: 3.60%-4.80%

USD: 1.0%

effective interest rate

MNT: 3.66%-4.91%

USD: 1.0%"
Can you explain the terms for Standing Order?,"To sign a contract
Free of charge
From every transaction made in accordance with the contract
Free of charge
From every transaction made between banks in accordance with the contract

Amendments and changes to the contract
Free of charge",Standing Order,https://xacbank.mn/product/121?lang=en,"This service automatically transfers the desired amount to the reserved account on a fixed time from your bank account, demand savings account, or debit card.Save your time;
Make affordable transactions automatically;
Make a deposit to savings on fixed time.","To sign a contract
Free of charge
From every transaction made in accordance with the contract
Free of charge
From every transaction made between banks in accordance with the contract

Amendments and changes to the contract
Free of charge",Not Provided,Not Provided,"Form;
The standing order contract.",Not Provided
Where can I learn more about Cash collection?,https://xacbank.mn/product/88?lang=en,Cash collection,https://xacbank.mn/product/88?lang=en,"Customers' accumulated cash revenue is collected by specialized bank staff from the customers' branches or sales points and safely deposited to their respective accounts.

Secure deposit of accumulated cash earnings, protecting against any external risks;
Saving customer time and operational cost of cash handling;
Easy access to control statements through internet banking or mobile device;
Execute payment and settlements quickly;
Currency for cash collection MNT, USD, EUR.","Service fee and commission are charged differently depending on cash collection amount, average deposited period and location of customer sales points.
0.1-0.5%",Not Provided,Not Provided,Not Provided,"How to apply?
You can apply your request to any XacBank branch. The relationship manager will contact you to explain service terms and conditions. The agreement on cash collection service is made between XacBank and the customer."
What are the requirements for Construction Loan?,"In operation for the past 6 months;
To have the required business license from the relevant authority, valid until the loan maturity, or in case of special licenses with set periods, availability to obtain an extension until loan matures;
No previous bad credit history with other banks, financial institutions, individuals or legal entities;
Maintains accounting records which are up to date and accurate with regards to the operation of the business; in case of legal entities, accounting bookkeeping;
Provide accurate and complete information as required by the bank;
In case of establishment of a legal entity during the process of doing business, said legal entity should have no bad credit history or bankruptcy record.
Required documents:

XacBank application form;
Business background;
Certificate of legal entity, charter and founders’ agreement;
Financial statements (1-3 years);
Business permits, licenses, and patents;
Land ownership and occupancy certificates;
Construction project budget and projection, schedule for loan financing and performance;
Construction performance and inventory of purchased materials;
Recent credit history from other banks and financial institutions;
Agreements and transactions relevant to activities to be financed by loan;
Documents relevant to collateral assets;
Other documents required depending on business type.",Construction Loan,https://xacbank.mn/product/97?lang=en,"Loans that finance new construction projects as well as expansion, renovation and repair work on previously existing construction projects.
To finance new construction projects as well as expansion and renovation of existing projects;
For purchase of special equipment and machinery for construction projects;
To finance additional costs associated with changes in plans for construction projects.","Loan amount
Not to exceed 70% of the construction budget
Interest rate
1.5% - 1.9%
1.1% - 1.5%
/18.0% -22.8%/ per annul
/13.2% - 18.0%/ per annul
Loan period
60 months
Service fee
1.00%
0.50%
Loan monitor fee
0.04% - 0.1%
Loan application fee
0 MNT",Not Provided,Not Provided,"In operation for the past 6 months;
To have the required business license from the relevant authority, valid until the loan maturity, or in case of special licenses with set periods, availability to obtain an extension until loan matures;
No previous bad credit history with other banks, financial institutions, individuals or legal entities;
Maintains accounting records which are up to date and accurate with regards to the operation of the business; in case of legal entities, accounting bookkeeping;
Provide accurate and complete information as required by the bank;
In case of establishment of a legal entity during the process of doing business, said legal entity should have no bad credit history or bankruptcy record.
Required documents:

XacBank application form;
Business background;
Certificate of legal entity, charter and founders’ agreement;
Financial statements (1-3 years);
Business permits, licenses, and patents;
Land ownership and occupancy certificates;
Construction project budget and projection, schedule for loan financing and performance;
Construction performance and inventory of purchased materials;
Recent credit history from other banks and financial institutions;
Agreements and transactions relevant to activities to be financed by loan;
Documents relevant to collateral assets;
Other documents required depending on business type.","Loan amount

Not to exceed 70% of the construction budget

Loan period

60 months

Annual Interest rate

MNT: 18.0% -22.8%

USD: 13.2% - 18.0%"
What are the benefits of using International settlement?,"Complete the ""Beneficiary Form"" and E-mail or fax a copy to the beneficiary.

In accordance with the sender's information, the payment will be remitted into your account without any delay. From the list below, please select the currency in which you wish to receive the remittance, and complete the ""Remittance Requisite Form"".

USD
EUR
YEN
CNY
KRW
CAD
AUD
HKD
SGD
Transferring money abroad:
You will need to fill out the ""Foreign Remittance Form"", which is available at every branch of XacBank, with detailed information about the beneficiary and submit the completed form to a XacBank employee. Alternatively, you can fill our and submit the form through our mobile internet banking service.",International settlement,https://xacbank.mn/product/79?lang=en,"XacBank provides our clients with the ability to transfer payments to any country in the world within seconds from the convenience of their home, office, mobile phone, and every branch of XacBank in Ulaanbaatar as well as the 21 provinces around the country.
XacBank will transfer your payments according to your instructions to any country in the world through internationally reputable banks within 1-2 business days.

To see the list of our correspondent banks, please click here.

Features and advantages
Pay settlements reliably and quickly through the most extensive network with our S.W.I.F.T service;
Settlements are made through the 10 most universal currencies. Including: USD, EUR, CNY, JPY, KRW, AUD, GBP, CAD, HKD, SGD;
S.W.I.F.T service is available at all XacBank's branches in Ulaanbaatar and throughout the 21 aimags in the country;
S.W.I.F.T settlements are also available through our internet and mobile banking, so payments can be made from anywhere in the world, at your convenience;
Get advice and information on international remittances;
Competitive fees and commissions.",Not Provided,"USD TRANSFER FEE
Transfer amount	service fee  /USD/
Up to 5,000.00 хүртэл
8.5
5,000.01 - 50,000.00	12.5
Over 50,000.01
15
eur TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /EUR/
Up to 5,000.00
5
Over 5,000.01
10
cad TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /CAD/
Up to 50,000.00
10
Over 50,000.01
13.5
jpy TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /JPY/
All amount 	670


aud TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /AUD/
Up to 50,000.00
10
Over 50,000.01
13.5
cny TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /CNY/
Up to 50,000.00
20
50,000.01- 100,000.00
25
Over 100,000.01
50
krw TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /KRW/
Up to 1,000,000.00
7,500
Over 1,000,000.01
12,000
hkd TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /HKD/
All amounts	85
sgd TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /SGD/
All amounts
10
gbp TRANSFER FEE
TRANSFER AMOUNT
SERVICE FEE /GBP/
All amounts
5","Complete the ""Beneficiary Form"" and E-mail or fax a copy to the beneficiary.

In accordance with the sender's information, the payment will be remitted into your account without any delay. From the list below, please select the currency in which you wish to receive the remittance, and complete the ""Remittance Requisite Form"".

USD
EUR
YEN
CNY
KRW
CAD
AUD
HKD
SGD
Transferring money abroad:
You will need to fill out the ""Foreign Remittance Form"", which is available at every branch of XacBank, with detailed information about the beneficiary and submit the completed form to a XacBank employee. Alternatively, you can fill our and submit the form through our mobile internet banking service.",Not Provided,Not Provided
Where can I learn more about Securities settlement Escrow account?,https://xacbank.mn/product/66?lang=en,Securities settlement Escrow account,https://xacbank.mn/product/66?lang=en,"Protecting against the risk that arises from the transfer of ownership, use, or rights between citizens and institutions by holding the relevant funds in an Escrow account until each party has fulfilled their respective responsibilities.
Advantages:
Mitigate any risks that may occur;
Prevent misunderstandings between parties",Not Provided,"Fees and commissions:
Involved party/ Agreement type
General conditions
Buyer / Seller
0.3%
/Maximum 200,000 MNT
/USD, 200 EURO/
For Escrow accounts in the amount exceeding 100 million MNT, the fee shall be agreed upon in the contract.",Not Provided,"Required documents:
Escrow account application form /Bank official form/;
The original version and a copy of the agreement between the relevant parties;
For institutions, official notarized copy of State Registration Certificate;
Notarized guarantee of applicant's signature /Bank official form/;
Copy of charter of the company;
Copy of electronic ID card of authorized administrator of the account.","For more information, please contact your nearest XacBank branch, our customer service hotline 1800-1888, or to reach the relationship manager responsible for your institution, please e-mail us at smerm@xacbank.mn."
Where can I learn more about MIAT Credit Card?,https://xacbank.mn/product/40?lang=en,MIAT Credit Card,https://xacbank.mn/product/40?lang=en,"Enjoy credit limit up to MNT25 million;
    Earn miles with your purchases;
    Redeem your miles for MIAT products and services including exclusive access at MIAT business lounge;
    Make purchases conveniently while you travel overseas in 200+ countries;
    Get free notification service for your transactions powered by XacInfo;
    No interest charged on purchase transaction if the total balance is paid on the due date.","Receive 1 mile for every MNT10,000 spent in Mongolia by using your MIAT credit card on any XacBank POS;
    Earn miles internationally by swiping your MIAT credit card at any bank’s POS in the world.Conditions
	fee
Currency
	MNT
Annual card fee
	MNT 30,000
Maximum credit limit
	MNT 25,000,000
Minimum credit limit
	MNT 1,500,000
Non-cash transaction interest rate  /monthly/
	2% /monthly/, 24% /annual/
Cash withdrawal interest rate /monthly/
	2.8% /monthly/, 33.6% /annual/","DESTINATION
	ECONOMIC CLASS /1 WAY/
	ECONOMIC CLASS /2 WAYS/  
	BUSINESS CLASS /1 WAY/
	business CLASS /2 WAYS/
	UPGRADE TO BUSINESS CLASS (1 ways/2ways)
	ONE PIECE OF FREE LUGGAGE FOR EVERY FLIGHT
Beijin	7,500
	15,000
	10,000
	20,000
	6,000/12,000
	3,000
Seoul	12,500
	25,000
	15,500
	31,000
	10,000/20,000
	4,000
HongKong	18,500
	37,000
	22,500
	45,000
	15,000/30,000
	5,500
Тokyo
	19,000
	38,000
	23,500
	47,000
	15,000/30,000
	4,500
Moscow	29,000
	58,000
	36,000
	72,000
	23,000/46,000
	5,500
Berlin	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Frankfurt	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Moscow-Berlin	10,000
	20,000
	15,000
	30,000
	8,000/16,000
	5,000
Busan	15,000
	30,000
	18,500
	37,000
	15,000/30,000
	4,500
Bangkok	22,500
	45,000
	27,500
	55,000
	23,000/46,000
	6,000","Earn miles for every purchase you make and spend your miles on MIAT’s products, services and flights.","PRODUCT NAMe
	MILES
Business lounge at airport  
	1,000
Travel pillow
	550
Tie clip
	700
Passport travel bag
	650
USB flash driver	1,000
Bag for shirt and tie
	850
Boeing-767 model
	1,350
Wrist watch model-3609S3
	3,500
Wrist watch model-M6601SS-D
	2,500
Wrist watch model- 3613B1	4,500
Airplane model 1:100
	6,000
Airplane model 1:200
	4,500
Borrussia Dortmund key ring	1,500
Borrussia Dortmund mug
	1,500
Borrussia Dortmund EMMA soft toy
	2,500
Borrussia Dortmund colour pen
	1,000
Borrussia Dortmund ballpoint pen
	1,000",Not Provided
Where can I learn more about Training for SME executives?,https://xacbank.mn/product/117?lang=en,Training for SME executives,https://xacbank.mn/product/117?lang=en,"Participating in XacBank’s training for SME executives will help you understand the banking solutions available, the requirements for each solution, and allow you to receive the necessary solutions with ease. 

Financing solutions: The training will give an understanding of the requirements to obtain a loan, documents necessary, and the overall process of the loan lending procedure. 
Trade finance solutions: The training will cover overcoming common issues and solutions for international trade.
Banking & leasing, insurance services training.
Training of specific projects, which are working with XacBank. /Export development, business advisory, syndicated financing, etc/",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
What are the conditions to apply for Vehicle insurance?,Not Provided,Vehicle insurance,https://xacbank.mn/product/59?lang=en,"Accidents;
    Intentional action by a third party;
    Plumbing risk;
    Fire;
    Natural force events;
    Robbery, burglary;
    Driver’s sudden accident.",Not Provided,Not Provided,Not Provided,"Information about the owner- ID card, certificate of the legal entity;
    The vehicle certificate and other documents;
    The vehicle name, model, serial number and other information;
    Market value of the vehicle or financial documents of purchase**.

Required documents:

    Information about the owner- ID card, certificate of the legal entity;
    The vehicle certificate and other documents;
    The vehicle name, model, serial number and other information;
    Market value of the vehicle or financial documents of purchase.","Application by the insured;
    Review made by relevant organizations ( for example, accident report by Traffic Police);
    Damage evaluation report;
    Insurance contract, original copy of the insurance policy;
    ID cards and driver’s licenses of the drivers involved, the vehicles ID-s;
    Other required materials.

* An insurance company has different types of risks and associated rates vary for that particular property to be insured.

** Though the insurance valuation fully depends on the choice made by the insured, the insurer usually advises to determine the insurance valuation at a rate equal to market value because if an insurance accident occurs, percentage of the damages to be indemnified is defined based on the pro-rata allocation principle ."
What are the conditions to apply for Merchant and POS terminal services?,"Card reader POS terminal
Free
POS paper and supplementary devices
Free
User manual, advertisement materials.
Free Domestic cards – 1%
International cards – 3%",Merchant and POS terminal services,https://xacbank.mn/product/113?lang=en,"If you use XacBank’s POS terminal for your business, it provides the way of serving trustworthy and swift non-cash payment.Accessible to international VISA,UPI and all the local banks cards;
24 hours online services through 1800-1888;
To be able to increase business income by providing cash to XacBank’s card holders through CASHBACK service. For more information about CASHBACK service, click HERE.",Not Provided,"Card reader POS terminal
Free
POS paper and supplementary devices
Free
User manual, advertisement materials.
Free Domestic cards – 1%
International cards – 3%",Not Provided,"POS request form /provided by bank/;
Copy of Identification document;
Copy of State registration certificate.",Not Provided
"What are the requirements for ""Monpay"" payment card?","If Mongolian citizen - Id or international passport of Mongolia;
If foreign citizen - Certificate of alien registration;","""Monpay"" payment card",https://xacbank.mn/product/132?lang=en,We offer you a Monpay card which you can use to make all your international and domestic payments and collect 1% cashback on your Monpay account.,"Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Card validity
5 years
Annual fee
MNT 10,000
Maximum daily cash withdrawal limit
MNT 5,000,000
Maximum daily purchase limit (POS transaction)
MNT 5,000,000
Card replacement fee
MNT 10,000
PIN code recovery at branch
MNT 1,000
PIN code change at ATM
MNT 0
Cash withdrawal
XacBank ATM
MNT 0
In abroad /АТМ/
1.5% or equal to MNT 3000
At XacBank branch /USD/	0.25%
At XacBank branch /MNT/	MNT 200
Balance inquire on an ATM
XacBank ATM
MNT 0
Other domestic banks' ATM
MNT 100
Abroad bank ATM	MNT 1000 or equal currency","Collect 1% cashback on your Monpay account on purchases made through XacBank POS terminals;
No ATM withdrawal fees when used on XacBank ATMs;
Secure online payments;
Use your payment card with ease when you travel.","If Mongolian citizen - Id or international passport of Mongolia;
If foreign citizen - Certificate of alien registration;",Not Provided
Where can I learn more about Private house Mortgage?,https://xacbank.mn/product/14?lang=en,Private house Mortgage,https://xacbank.mn/product/14?lang=en,"Private House Purchase Loan
    if you intend to buy a private house built in accordance with the architectural plan and connected to central or privately developed heating and sewage system on the private land, you can choose Private House Purchase Loan.
    Private House Construction Loan
    if you intend to build a private house to be built in accordance with architectural plan and connected to central or privately developed heating and sewage system on your own legally privatized land, you can choose Private House Construction Loan. To be eligible for this loan construction process should have 50 percent completion rate or ceiling and flooring works needs to be completed.","Regular Mortgage
	For completing
construction of houses
Loan size
	Ulaanbaatar city	MNT 200 million
	MNT 200 million
Rural areas	MNT 100 million
	MNT 100 million
Down payment, in percentage
	30%
	20% - 50% of construct
work completion
Interest rate
	Monthly rate	₮: 1.5%
Annual rate	₮: 18.0%
Annual percentage rate	₮: 18.0%
Loan period
	180 months
Service fee
	

25%-40%: 1.0%

40%-50%: 0.5%

Above 50%: 0.0%","Land Ownership Certificate, a Resolution of Aimag or Capital City Governor on Construction Land Permit , and Land Possession contract;
    Documents on of technical conditions and permissions;
    Revised construction drawing and budget;
    General Plan for Construction Works;
    Contracts signed with Construction Material Supplier, Equipment Sales and Rental Companies, Contractors for Private House Construction, Heating and Water Supply Installation Works and other relevant contracts and agreements together with financing plan and performance acts.","Evidence on payment or capacity to pay down payment /Receipt, Savings Contract, Savings Book etc./;
    Original copy of Real Estate Sale and Purchase Agreement, if any, signed by and between the Loan Applicant and the Seller;
    Cadastral Mapping of Land for Private House;
    A copy of Immovable Property Ownership Certificate;
    Life and Property Insurance Contract.","Required documents:

    Loan application form /application forms/;
    Notarized copies of ID Cards for loan applicants and the family members;
    2 passport sized (3x4 sized) photos taken within the past 12 months of the Loan applicant;
    A brief introduction on profession, education, employment records and business activities of the loan applicant and the family members;
    A notarized copy of Land Ownership Certificate, a reference on ownership of Real Estate and other relevant assets issued by State Registration Office at least one week prior to such loan requests;
    Other.","Loan size

MNT 200 million

period

180 months

interest rate

    Monthly: 1.5%
    annual: 18.0%"
What are the benefits of using MIAT Credit Card?,"Earn miles for every purchase you make and spend your miles on MIAT’s products, services and flights.",MIAT Credit Card,https://xacbank.mn/product/40?lang=en,"Enjoy credit limit up to MNT25 million;
    Earn miles with your purchases;
    Redeem your miles for MIAT products and services including exclusive access at MIAT business lounge;
    Make purchases conveniently while you travel overseas in 200+ countries;
    Get free notification service for your transactions powered by XacInfo;
    No interest charged on purchase transaction if the total balance is paid on the due date.","Receive 1 mile for every MNT10,000 spent in Mongolia by using your MIAT credit card on any XacBank POS;
    Earn miles internationally by swiping your MIAT credit card at any bank’s POS in the world.Conditions
	fee
Currency
	MNT
Annual card fee
	MNT 30,000
Maximum credit limit
	MNT 25,000,000
Minimum credit limit
	MNT 1,500,000
Non-cash transaction interest rate  /monthly/
	2% /monthly/, 24% /annual/
Cash withdrawal interest rate /monthly/
	2.8% /monthly/, 33.6% /annual/","DESTINATION
	ECONOMIC CLASS /1 WAY/
	ECONOMIC CLASS /2 WAYS/  
	BUSINESS CLASS /1 WAY/
	business CLASS /2 WAYS/
	UPGRADE TO BUSINESS CLASS (1 ways/2ways)
	ONE PIECE OF FREE LUGGAGE FOR EVERY FLIGHT
Beijin	7,500
	15,000
	10,000
	20,000
	6,000/12,000
	3,000
Seoul	12,500
	25,000
	15,500
	31,000
	10,000/20,000
	4,000
HongKong	18,500
	37,000
	22,500
	45,000
	15,000/30,000
	5,500
Тokyo
	19,000
	38,000
	23,500
	47,000
	15,000/30,000
	4,500
Moscow	29,000
	58,000
	36,000
	72,000
	23,000/46,000
	5,500
Berlin	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Frankfurt	38,500
	77,000
	48,000
	96,000
	31,000/62,000
	9,000
Moscow-Berlin	10,000
	20,000
	15,000
	30,000
	8,000/16,000
	5,000
Busan	15,000
	30,000
	18,500
	37,000
	15,000/30,000
	4,500
Bangkok	22,500
	45,000
	27,500
	55,000
	23,000/46,000
	6,000","Earn miles for every purchase you make and spend your miles on MIAT’s products, services and flights.","PRODUCT NAMe
	MILES
Business lounge at airport  
	1,000
Travel pillow
	550
Tie clip
	700
Passport travel bag
	650
USB flash driver	1,000
Bag for shirt and tie
	850
Boeing-767 model
	1,350
Wrist watch model-3609S3
	3,500
Wrist watch model-M6601SS-D
	2,500
Wrist watch model- 3613B1	4,500
Airplane model 1:100
	6,000
Airplane model 1:200
	4,500
Borrussia Dortmund key ring	1,500
Borrussia Dortmund mug
	1,500
Borrussia Dortmund EMMA soft toy
	2,500
Borrussia Dortmund colour pen
	1,000
Borrussia Dortmund ballpoint pen
	1,000",Not Provided
What are the advantages of Property insurance?,This type of insurance package aims to give its customers a chance for peace of mind by providing a partial or whole compensation for the damages caused to their property by the customer’s own and other people’s wrongful actions or by force major events in accordance with the previously agreed conditions.,Property insurance,https://xacbank.mn/product/58?lang=en,This type of insurance package aims to give its customers a chance for peace of mind by providing a partial or whole compensation for the damages caused to their property by the customer’s own and other people’s wrongful actions or by force major events in accordance with the previously agreed conditions.,Not Provided,Not Provided,"An owner and holder of any material property (such as an apartment building, private house, land, house, ger, furniture, electric appliances, equipment, heavy cargo transport vehicles and heavy machinery) can subscribe for this insurance product to protect his property against any possible risks and prevent from any consequences which might occur.","Required documents

    Information about the owner - ID card, legal entity certificate;
    The property certificate and other documents;
    The property name, model, serial number and other information;
    Market value of the property or financial documents of purchase;
    Ownership or possession rights over the property;
    Market price of the property should be determinable;
    The property should have its unique serial number and features to distinguish from other properties.

Possible risks against the property

    Fire and explosions;
    Natural disasters;
    Electric current fluctuations;
    Plumbing;
    Robbery, burglary;
    Intentional or unintentional acts of a third party;
    Domestic accident;
    Hidden damage.

List of required documents

    Information about the owner - ID card, legal entity certificate;
    The property certificate and other documents;
    The property name, model, serial number and other information;
    Market value of the property or financial documents of purchase**.

List of required materials for insurance claims

    Application by the insured;
    Review made by relevant organizations ( for example, by Apartment Owners Association, Apartment Maintenance and Service office and etc);
    Damage evaluation report;
    Insurance contract, original copy of the insurance policy;
    Other required materials.

*An insurance company has different types of risks and associated rates vary for that particular property to be insured.

** Though the insurance valuation fully depends on the choice of the insured, the insurer usually advises to fix the insurance valuation at a rate equal to market value because percentage of the damages to be indemnified is defined based on pro-rata allocation principle.",Not Provided
What are the benefits of using Export letter of credit?,Not Provided,Export letter of credit,https://xacbank.mn/product/85?lang=en,"А letter of credit issued by foreign in favor of the Mongolian exporter.

If you are not willing to bear the credit risk of your foreign business partner you may request the importer to issue you a letter of credit, which ensures that the payment risk is switched to the issuing bank, which assumes an independent promise to pay. If you do not have a direct relationship or knowledge of the issuing bank, XacBank can add its confirmation to the issued LC, meaning that the payment risk is now on XacBank.","Terms
Fee
Advising of the LC
USD 15
Verification of documents and transferring payment
0.07 % (min. USD 35, max. USD 200)
Advising of the amendment to terms and conditions
USD 10
Cancellation of DC
USD 30",Not Provided,Not Provided,Not Provided,Not Provided
Can you explain the terms for Internet banking?,Not Provided,Internet banking,https://xacbank.mn/product/74?lang=en,"Internet banking services will provide you and your business with our complete range of services in a simple, reliable, and safe way regardless of time while saving your valuable time and space.",Not Provided,Not Provided,"Internet banking functions ...
Interbank transactions;
Transactions within XacBank accounts;
International transactions via SWIFT;
Create standing orders to set automatic transfers;
Receive and print account statements;
Check the balance in any of your accounts;
Check loan repayment schedule;
Reminders of expiry date for savings accounts, cards, and loan repayment dates.","Internet banking advantages ...
Safety – All transactions will be validated by authorized staff of the organization.

Additionally, it is possible to change staff authorization rights according to client specifications.

Reliability – To ensure security of transactions and confidentiality of your account we use modern world-class security and a variety of technologies and tools, including THAWTE certificate and Vasco device.

Fast – While all your transactions are made online you can simultaneously obtain any account balance or statement as well. 

Easy - From any device connected to the Internet, you can use Internet banking services regardless of the time and place.","Apply at any XacBank branch to set up Internet Banking service agreement; the following documents are required:

Copy of state registration certificate for legal entity;
Copy of electronic ID card of employees authorized to use internet banking service /not required to be certified by notary/;
Completed application for Internet Banking /Bank official form/.
To apply for Internet banking service, it is mandatory to have an opened account at XacBank."
