question,answer,metadata_branch_name,metadata_address,metadata_timetable,metadata_phone,metadata_opening_time,metadata_closing_time
where is the baruun-urt branch branch located?,"mongolbank building, 7th bag, baruun-urt soum
what3words: /// slice.wages.rainwater",baruun-urt branch,"mongolbank building, 7th bag, baruun-urt soum
what3words: /// slice.wages.rainwater","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank?","7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",sukhbaatar branch lobby atm,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",mon-sun 24 hours,1800-1888,00:00,23:59
where is the bayankhongor branch branch located?,"1st floor of building 436, 4th street, nomgon lubsandanzanjantsan avenue, 1st bag, bayankhongor soum
 what3words: /// corroding.frighten.redwoods",bayankhongor branch,"1st floor of building 436, 4th street, nomgon lubsandanzanjantsan avenue, 1st bag, bayankhongor soum
 what3words: /// corroding.frighten.redwoods","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the soyombo market атм branch open on sunday?,yes,soyombo market атм," 14th khoroo, belkh road, dari-ekh, soyombo market 
",mon-sun 8am-9pm,1800-1888,08:00,21:00
"where is the baganuur branch, express atm  branch located?","1st khoroo, natsgdorj street 7/1, baganuur branch xac bank","baganuur branch, express atm ","1st khoroo, natsgdorj street 7/1, baganuur branch xac bank",mon-sun 24 hour,1800-1888,00:00,23:59
"what are the opening hours for tushig branch, express bank атм branch?","opening time: 07:00, closing time: 23:59","tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",mon-sun 24 hour,1800-1888,07:00,23:59
"what is the name of the branch located at selenge province, sukhbaatar, xac bank selenge branch ?","selenge province, sukhbaatar, xac bank selenge branch ",selenge branch атм,"selenge province, sukhbaatar, xac bank selenge branch ",mon-sun 24 hour,1800-1888,00:00,23:59
is the best massage atm branch open on sunday?,yes,best massage atm,"khan-uul district, 3rd khoroo, union of the black eyed peas of mongolia, best massage ",mon-sun 9am-8pm,1800-1888,09:00,20:00
what are the opening hours for 100 ail 2th hospital атм branch?,"opening time: 00:00, closing time: 23:59",100 ail 2th hospital атм,10-r khoroo 100 ail 2th hospital,mon-sun 24/7,1800-1888,00:00,23:59
where is the belkhi uugan center atm branch located?,"micro-region #18, belkhi uugan tuv supermarket",belkhi uugan center atm,"micro-region #18, belkhi uugan tuv supermarket",mon-sun: 08-24,nan,08:00,23:59
where is the bidnii supermarket atm branch located?,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",bidnii supermarket atm,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",mon-sun 8am-11pm,1800-1888,08:00,23:00
"what is the name of the branch located at 20th khoroo, 1st microdisrict, moscow road, kharkhorin market, b1 floor ?","20th khoroo, 1st microdisrict, moscow road, kharkhorin market, b1 floor ","kharkhorin market, express atm","20th khoroo, 1st microdisrict, moscow road, kharkhorin market, b1 floor ","tue-sun 9pm-19pm
mon closed",1800-1888,09:00,19:00
what are the opening hours for baruun-urt branch branch?,"opening time: 08:30, closing time: 16:30",baruun-urt branch,"mongolbank building, 7th bag, baruun-urt soum
what3words: /// slice.wages.rainwater","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at khan-uul district, 3rd khoroo, union of the black eyed peas of mongolia, best massage ?","khan-uul district, 3rd khoroo, union of the black eyed peas of mongolia, best massage ",best massage atm,"khan-uul district, 3rd khoroo, union of the black eyed peas of mongolia, best massage ",mon-sun 9am-8pm,1800-1888,09:00,20:00
is the songinokhairkhan branch lobby crm-atm-2 branch open on sunday?,yes,songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",mon-sun 24 hours,1800-1888,00:00,23:59
"is the tushig branch, express bank атм branch open on sunday?",yes,"tushig branch, express bank атм","4th khoroo, seoul road, tushig branc xac bank",mon-sun 24 hour,1800-1888,06:00,23:59
"is the myangan neriin baraa, express atm branch open on sunday?",yes,"myangan neriin baraa, express atm","""myangan neriin baraa"" market,15th committee, 3rd section, bayangol district ",mon-sun 10am-08pm,1800-1888,10:00,20:00
what are the opening hours for bidnii supermarket atm branch?,"opening time: 08:00, closing time: 23:00",bidnii supermarket atm,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",mon-sun 8am-11pm,1800-1888,08:00,23:00
is the huchit shonhor branch branch open on sunday?,yes,huchit shonhor branch,"khuchit shonhor llc building, 11th khoroo, chingeltei district
what3words: /// cabs.choppers.disprove","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the sansar supermarket атм branch open on sunday?,yes,sansar supermarket атм,"11th khoroo, bayanzurkh point, eastern side of petrovis gas station, sansar supermarket",mon-sun 9am-12pm,nan,09:00,23:59
"what is the name of the branch located at 2rd khoroo, bayangol duureg zdtg?","2rd khoroo, bayangol duureg zdtg",bayangol duureg zdtg atm,"2rd khoroo, bayangol duureg zdtg",mon-sun 24 hour,1800-1888,00:00,23:59
is the khutul center atm branch open on sunday?,yes,khutul center atm,"11st khoroo, khuvisgal road, bayakhoshuu khutul center",mon-sun 10pm-11pm,1800-1888,10:00,23:00
"is the western region shopping center, express atm  branch open on sunday?",yes,"western region shopping center, express atm ","bayanlkhongor province, bayankhongor, western region shopping center ",mon-sun 10am-18pm,1800-1888,10:00,18:00
"what is the name of the branch located at 3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch?","3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch","sansar branch, express bank атм","3rd khoroo, enkhtaivan avenue, eastern 4 zam, xacbank sansar branch",mon-sun 24 hour,1800-1888,07:00,23:59
what are the opening hours for nalaikh zuun khuree delguur atm branch?,"opening time: 08:00, closing time: 20:00",nalaikh zuun khuree delguur atm,nalaikh zuun khuree delguur,mon-sun 8am-8pm,18001888,08:00,20:00
where is the buyant-ukhaa market atm branch located?,"micro-region #9, nisekh district, buyant-ukhaa market",buyant-ukhaa market atm,"micro-region #9, nisekh district, buyant-ukhaa market",mon-sun: 10:00-21:00,1800-1888,10:00,21:00
what are the opening hours for dragon 1 point service centerатм branch?,"opening time: 09:00, closing time: 18:59",dragon 1 point service centerатм,"17th khoroo, dragon 1 point service center","mon-sun 9am-6pm
sat-sun closed",1800-1888,09:00,18:59
"what is the name of the branch located at zavkhan province, tosontsengel, munkh-uvugdii supermarket ?","zavkhan province, tosontsengel, munkh-uvugdii supermarket ","munkh-uvugdii supermarket, express atm ","zavkhan province, tosontsengel, munkh-uvugdii supermarket ",mon-sun 9am-10pm,1800-1888,09:00,22:00
is the selenge branch branch open on sunday?,yes,selenge branch,"xacbank building, 6th bag, suhbaatar soum
what3words: /// purses.purified.gender","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what are the opening hours for sodon, express atm   branch?","opening time: 09:00, closing time: 22:00","sodon, express atm  ","6th khoroo, sodon khoroolol, sansar supermarket",mon-sun 9am-10pm,1800-1888,09:00,22:00
"what are the opening hours for khangai region shopping center, express atm   branch?","opening time: 09:00, closing time: 19:00","khangai region shopping center, express atm  ","orkhon province, bayan-undur, uurkhaichin, khangai region shopping center","tue-sun 9am-7pm
mon closed",1800-1888,09:00,19:00
where is the ord supermarket branch located?,"15th khoroo, sharga morit, ord supermarket ",ord supermarket,"15th khoroo, sharga morit, ord supermarket ",mon-sun 8am-11pm,1800-1888,08:00,23:00
"what is the name of the branch located at 17th khoroo, jalkhants khutagt damdinbazar road, health center 7, bayangol district?","17th khoroo, jalkhants khutagt damdinbazar road, health center 7, bayangol district",bayangol district health center 7 atm,"17th khoroo, jalkhants khutagt damdinbazar road, health center 7, bayangol district",mon-sun 24 hour,1800-1888,00:00,23:59
is the night plaza trade center express atm branch open on sunday?,yes,night plaza trade center express atm,"micro-region #14, nam yanju str, night plaza trade center","thursday closed,
mon-sun: 11:00-24:00",nan,11:00,23:59
"what are the opening hours for erdenet branch, express bank атм branch?","opening time: 00:00, closing time: 23:59","erdenet branch, express bank атм","orkhon province, bayan-undur, selenge restaurant, xac bank erdenet branch ",24/7,1800-1888,00:00,23:59
is the xacbank central branch atm branch open on sunday?,yes,xacbank central branch atm,"micro-region #1, peace avenue, chingunjav str. xacbank central branch",24 hour,1800-1888,00:00,23:59
"where is the e-mart chinggis, express atm branch located?","1st khoroo, 12th microdistrict, tokyo street, e-mart chinggis 2nd floor","e-mart chinggis, express atm","1st khoroo, 12th microdistrict, tokyo street, e-mart chinggis 2nd floor",mon-sun 9am-10pm,1800-1888,09:00,22:00
what are the opening hours for khentii mart99 atm branch?,"opening time: 08:00, closing time: 23:59",khentii mart99 atm,"kherlen sum, ",mon-sun 08:00-00:00,1800-1888,08:00,23:59
"what are the opening hours for khishig shopping center, express atm   branch?","opening time: 08:00, closing time: 23:00","khishig shopping center, express atm  ","khovd province, jargalant, alag tolgoi, khishig shopping center",mon-sun 8am-11pm,1800-1888,08:00,23:00
what are the opening hours for khutul center atm branch?,"opening time: 10:00, closing time: 23:00",khutul center atm,"11st khoroo, khuvisgal road, bayakhoshuu khutul center",mon-sun 10pm-11pm,1800-1888,10:00,23:00
"what is the name of the branch located at 11st khoroo, sambalkhundev road, khuchitshonkhor market?","11st khoroo, sambalkhundev road, khuchitshonkhor market","khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",mon-sun 6am-5pm,1800-1888,06:00,17:00
"what are the opening hours for xacbank ard branch tsetseg tuv, express bank atm branch?","opening time: 08:00, closing time: 20:00","xacbank ard branch tsetseg tuv, express bank atm","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch",mon-sun 8-20 hour,1800-1888,08:00,20:00
where is the bayangol duureg zdtg atm branch located?,"2rd khoroo, bayangol duureg zdtg",bayangol duureg zdtg atm,"2rd khoroo, bayangol duureg zdtg",mon-sun 24 hour,1800-1888,00:00,23:59
"where is the khuchirshonkhor branch, express bank  atm branch located?","11st khoroo, sambalkhundev road, khuchitshonkhor market","khuchirshonkhor branch, express bank  atm","11st khoroo, sambalkhundev road, khuchitshonkhor market",mon-sun 6am-5pm,1800-1888,06:00,17:00
where is the narlag market atm branch located?,"altai sum, mongolia post",narlag market atm,"altai sum, mongolia post",mon-sun 10:00-20:00,1800-1888,10:00,20:00
where is the janjin club atm branch located?,"micro-region #12, janjin club",janjin club atm,"micro-region #12, janjin club",24 hour,nan,00:00,23:59
what are the opening hours for belkhi uugan center atm branch?,"opening time: 08:00, closing time: 23:59",belkhi uugan center atm,"micro-region #18, belkhi uugan tuv supermarket",mon-sun: 08-24,nan,08:00,23:59
where is the hongor branch branch located?,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots",hongor branch,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots","monday - friday: 10:00am-6:00pm
saturday, sunday: сlosed",1800-1888,10:00,18:00
"is the tsogttsetsii branch, express atm branch open on sunday?",yes,"tsogttsetsii branch, express atm",crm umnugovi tsogttsetsii branch атм,mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at 1st floor of erdenet departmentt store, erdenet hot, bayan-undur soum
what3words: /// armrest.broth.pirate?","1st floor of erdenet departmentt store, erdenet hot, bayan-undur soum
what3words: /// armrest.broth.pirate",bayan-undur branch,"1st floor of erdenet departmentt store, erdenet hot, bayan-undur soum
what3words: /// armrest.broth.pirate","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the dragon center bus terminal atm branch located?,"micro-region # 18, peace avenue, dragon center, ",dragon center bus terminal atm,"micro-region # 18, peace avenue, dragon center, ",mon-sun: 09:00-24:00,1800-1888,00:00,23:59
"what is the name of the branch located at 1st khoroo, natsgdorj street 7/1, baganuur branch xac bank?","1st khoroo, natsgdorj street 7/1, baganuur branch xac bank","baganuur branch, express atm ","1st khoroo, natsgdorj street 7/1, baganuur branch xac bank",mon-sun 24 hour,1800-1888,00:00,23:59
what are the opening hours for hovd branch branch?,"opening time: 08:30, closing time: 16:30",hovd branch,"xacbank building, jargalan bag, jargalant soum
what3words: /// dabble.opposites.shrubbery","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",70432756,08:30,16:30
where is the baylag undraa shopping center atm branch located?,"14th khoroo, narnii road, baylag undraa shopping center",baylag undraa shopping center atm,"14th khoroo, narnii road, baylag undraa shopping center","wed-sun 8am-8pm
tue closed",1800-1888,08:00,20:00
"what are the opening hours for esun-erdene market, express atm  branch?","opening time: 09:30, closing time: 19:30","esun-erdene market, express atm ","orkhon province, bayan-undur, oyut, esun erdene market ",mon-sun 9:30am-7:30pm,1800-1888,09:30,19:30
is the govi-altai branch branch open on sunday?,yes,govi-altai branch,"xacbank building, harzat bag, central street, esonbulag soum
what3words: /// gaping.numbness.correlation","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the bayalag mini market atm branch located?,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",bayalag mini market atm,"2nd khoroo, tolgoit street, tolgoit old terminal, bayalag mini market ",mon-sun 8am-12pm,1800-1888,08:00,23:59
where is the hentii branch branch located?,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue",hentii branch,"xacbank building, baatar gudamj, 3rd bag, chinggis hot
what3words: /// flies.market.argue","monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the tumbaash center  атм branch open on sunday?,yes,tumbaash center  атм,"7th khoroo, bayankhoshuu old bus station, tumbaash center",mon-sun 8am-8pm,1800-1888,08:00,20:00
where is the darkhan depatrment store. express atm branch located?,"darkhan-uul province, darkhan, darkhan department store",darkhan depatrment store. express atm,"darkhan-uul province, darkhan, darkhan department store",mon-sun 8:30am-10pm,1800-1888,09:00,22:00
what are the opening hours for achlal center atm branch?,"opening time: 10:00, closing time: 20:00",achlal center atm,"micro-region #14, ard ayush avenue,  district #3, achlal center",mon-sun: 10:00-20:00,nan,10:00,20:00
what are the opening hours for herlen branch branch?,"opening time: 08:30, closing time: 16:30",herlen branch,"1st floor of tana center, 6th bag, kherlen soum
what3words: /// piglets.costumed.gradually","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
where is the hanbogd branch branch located?,"ikh ulziit center 2nd floor, tsag uur-2 street, #8, khanbogd soum
what3words: /// sharpens.ladles.worthier",hanbogd branch,"ikh ulziit center 2nd floor, tsag uur-2 street, #8, khanbogd soum
what3words: /// sharpens.ladles.worthier","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at ulgii sum, central post office?","ulgii sum, central post office",post office atm,"ulgii sum, central post office",09:00 - 20:00,1800-1888,09:00,20:00
"what is the name of the branch located at selenge province, sukhbaatar, xac bank selenge branch ?","selenge province, sukhbaatar, xac bank selenge branch ",selenge branch атм,"selenge province, sukhbaatar, xac bank selenge branch ",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at 14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center?","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center","tedy 2 center, express atm ","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center",mon-sun 10am-8pm,1800-1888,10:00,20:00
"is the zaisan minii delguur, express atm  branch open on sunday?",yes,"zaisan minii delguur, express atm ","11st khoroo, zaisan road, minii delguur",mon-sun 9am-8pm,1800-1888,09:00,20:00
what are the opening hours for tanil supermarket атм branch?,"opening time: 09:00, closing time: 23:00",tanil supermarket атм,"7th khoroo, bayankhoshuu street, tanil supermarket",mon-sun 9am-11pm,1800-1888,09:00,23:00
is the dundgovi branch branch open on sunday?,yes,dundgovi branch,"xacbank building, buyannemeh street-18, 7th bag, mandalgobi soum
what3words: /// tournaments.expertly.pillbox","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what is the name of the branch located at 3-р хороо, энхтайваны өргөн чөлөө, зүүн 4 зам, хас банк сансар салбар?","3-р хороо, энхтайваны өргөн чөлөө, зүүн 4 зам, хас банк сансар салбар","sansar branch, express bank атм","3-р хороо, энхтайваны өргөн чөлөө, зүүн 4 зам, хас банк сансар салбар",mon-sun 24 hour,1800-1888,00:00,23:59
is the zuunmod branch branch open on sunday?,yes,zuunmod branch,"xacbank building, 1st bag, zuunmod soum, 
what3words: /// pretends.unsteady.median","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the mungun taiga center, express atm branch located?","12th khoroo, 6th micro district, mungun taiga center","mungun taiga center, express atm","12th khoroo, 6th micro district, mungun taiga center",mon-sun 8am-11pm,1800-1888,08:00,23:00
where is the govisumber branch atm branch located?,"govisumber province, sumber, minii supermarket ",govisumber branch atm,"govisumber province, sumber, minii supermarket ",mon-sun 8am-11pm,1800-1888,00:00,23:59
where is the orkhon market atm branch located?,"micro-region #19, peace avenue, orkhon market",orkhon market atm,"micro-region #19, peace avenue, orkhon market","mon-sun: 10:00-20:00
thu: closed ",nan,10:00,20:00
what are the opening hours for sansar branch branch?,"opening time: 08:30, closing time: 16:30",sansar branch,"cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the nisekh branch atm branch open on sunday?,yes,nisekh branch atm,"16th khoroo, wes sonsgolon street, nisekh branch xac bank",mon-sun 7am-12pm,1800-1888,07:00,23:59
is the delgerkhangai center express atm branch open on sunday?,yes,delgerkhangai center express atm,"micro-region #6, yarmag, delgerkhangai center",mon-sun 09:00-20:00,1800-1888,09:00,20:00
where is the narantuul branch branch located?,"baylag undraa shopping center, narantuul international commercial center, 14th khoroo, bayanzurkh district
what3words: /// sulked.dusters.continues",narantuul branch,"baylag undraa shopping center, narantuul international commercial center, 14th khoroo, bayanzurkh district
what3words: /// sulked.dusters.continues","monday-saturday: 9:00am-05:00pm
tuesday, sunday: сlosed",1800-1888,09:00,17:00
where is the bor-undur branch located?,"xacbank building, 2nd bag, bor-undur soum
what3words: /// cadet.narrated.zygotes",bor-undur,"xacbank building, 2nd bag, bor-undur soum
what3words: /// cadet.narrated.zygotes","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the ulaanbaatar railway hospital atm branch open on sunday?,yes,ulaanbaatar railway hospital atm,"micro-region #4, peace avenue, ulaanbaatar railway hospital",mon-sun: 08:00-20:00,nan,08:00,20:00
"is the e-mart chinggis, express atm-2 branch open on sunday?",yes,"e-mart chinggis, express atm-2","1st khoroo, 12th microdistrict, tokyo street, e-mart chinggis 2nd floor",mon-sun 9am-10pm,1800-1888,09:00,22:00
what are the opening hours for aurora hotel branch?,"opening time: 00:00, closing time: 00:00",aurora hotel,"4th khoroo, peace avenue aurora hotel",24 цаг,1800-1888,00:00,00:00
what are the opening hours for kharguijin market branch?,"opening time: 10:00, closing time: 20:00",kharguijin market,"13 khoroo, khailaast, orgil supermarket ",mon-sun 10am-8pm,1800-1888,10:00,20:00
"what are the opening hours for asait minii delguur, express atm branch?","opening time: 09:00, closing time: 23:00","asait minii delguur, express atm","22th khoroo, b. dorj street, asait shopping center, minii delguur",mon-sun 8am-11pm,1800-1888,09:00,23:00
what are the opening hours for king restaurant атм branch?,"opening time: 09:00, closing time: 19:00",king restaurant атм,"khovd province, jargalant, ikh mongol towm, king restaurant ",mon-sun 9am-7pm,1800-1888,09:00,19:00
what are the opening hours for orkhon market atm branch?,"opening time: 10:00, closing time: 20:00",orkhon market atm,"micro-region #19, peace avenue, orkhon market","mon-sun: 10:00-20:00
thu: closed ",nan,10:00,20:00
what are the opening hours for sayamaa market атм branch?,"opening time: 08:00, closing time: 20:00",sayamaa market атм," 9th khoroo, west sonsgolon street, nisekh sayamaa market ",mon-sun 8am-8pm,1800-1888,08:00,20:00
is the minii supermarket atm branch open on sunday?,yes,minii supermarket atm,"12th khoroo, 1st microdistrict, sappora minii supermarket ",mon-sun 8am-10pm,1800-1888,08:00,22:00
what are the opening hours for nalaikh mini market атм branch?,"opening time: 09:00, closing time: 23:59",nalaikh mini market атм,"nalaikh, 4th khoroo, altai 1/14, mini market ",mon-sun 9am-12pm,1800-1888,09:00,23:59
"what is the name of the branch located at 19th khoroo, suu co, ltd-max market?","19th khoroo, suu co, ltd-max market",max market express atm,"19th khoroo, suu co, ltd-max market",mon-sun 8am-11pm,1800-1888,08:00,23:00
"what is the name of the branch located at bayanzurkh district, 17th khoroo, da khuree auto market, mandu restaurant ?","bayanzurkh district, 17th khoroo, da khuree auto market, mandu restaurant ","da khuree mandu, express atm","bayanzurkh district, 17th khoroo, da khuree auto market, mandu restaurant ","мягмар-ням 10:00-18:00 цаг
monday closed",1800-1888,10:00,18:00
is the narantuul chandmani center express atm branch open on sunday?,yes,narantuul chandmani center express atm,"micro-region #14, narni rd, left side of narantuul market","tuesday closed.
mon-sun: open 24 hours",nan,07:00,23:59
where is the bayangol district health center 7 atm branch located?,"17th khoroo, jalkhants khutagt damdinbazar road, health center 7, bayangol district",bayangol district health center 7 atm,"17th khoroo, jalkhants khutagt damdinbazar road, health center 7, bayangol district",mon-sun 24 hour,1800-1888,00:00,23:59
"what is the name of the branch located at 17th khoroo, 1st microdistrict, unur branch xac bank ?","17th khoroo, 1st microdistrict, unur branch xac bank ","unur branch, express bank атм","17th khoroo, 1st microdistrict, unur branch xac bank ",mon-sun 6am-12pm,1800-1888,06:00,23:59
is the tsambagarav m-mart atm branch open on sunday?,yes,tsambagarav m-mart atm,"14th khoroo, 1st microdistrict, tsambagarav, m-mart",mon-sun 08am-21pm,1800-1888,08:00,21:00
"what is the name of the branch located at govi-altai province, esunbulag, shilen market?","govi-altai province, esunbulag, shilen market","shilen market, express atm ","govi-altai province, esunbulag, shilen market",mon-sun 9am-8pm,1800-1888,09:00,20:00
is the asait-minii delguur атм branch open on sunday?,yes,asait-minii delguur атм,"22th khoroo, b. dorj street, asait shopping center, minii delguur","mon-sun 8am-11pm
",1800-1888,09:00,23:00
"where is the myangan neriin baraa, express atm branch located?","""myangan neriin baraa"" market,15th committee, 3rd section, bayangol district ","myangan neriin baraa, express atm","""myangan neriin baraa"" market,15th committee, 3rd section, bayangol district ",mon-sun 10am-08pm,1800-1888,10:00,20:00
what are the opening hours for demchig khairkhan mini market atm branch?,"opening time: 09:00, closing time: 23:59",demchig khairkhan mini market atm,"chingeltei district, intersection of shadvilan camp, demchig mini market
",mon-sun 9am-12 pm,1800-1888,09:00,23:59
is the sukhbaatar branch lobby atm branch open on sunday?,yes,sukhbaatar branch lobby atm,"7th khoroo, 11th microdistrict, erkhuu road, sukhbaatar branch xac bank",mon-sun 24 hours,1800-1888,00:00,23:59
is the dunjingarav trade center atm branch open on sunday?,yes,dunjingarav trade center atm,"micro-region #6, narni rd, dunjingarav trade center",tue-sun 10:00-20:00,nan,10:00,20:00
is the misheel center walking street атм branch open on sunday?,yes,misheel center walking street атм,19th misheel center walking street,mon-sun 8am-10pm,1800-1888,08:00,21:00
what are the opening hours for uvs branch branch?,"opening time: 08:30, closing time: 16:30",uvs branch,"xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
is the nomin united store atm branch open on sunday?,yes,nomin united store atm,"micro-region #2, chinggis avenue, nomin united store",mon-sun: 10:00-21:00,1800-1888,10:00,21:00
is the river street branch branch open on sunday?,yes,river street branch,"1st floor, building no 311, ikh mongol uls street, 11th khoroo, khan-uul district
what3words: /// paintings.tame.seasons","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
what is the name of the branch located at belkhi zuslan?,belkhi zuslan,mobile atm,belkhi zuslan,24,1800-1888,00:00,23:00
"what is the name of the branch located at selenge province, sukhbaatar, xac bank selenge branch?","selenge province, sukhbaatar, xac bank selenge branch","selenge branch, express atm ","selenge province, sukhbaatar, xac bank selenge branch",mon-sun 24 hour,1800-1888,00:00,23:59
what are the opening hours for anar trade center atm branch?,"opening time: 09:00, closing time: 23:59",anar trade center atm,"bulgan city, anar trade center",mon-sun 09:00-24:00,1800-1888,09:00,23:59
"where is the khishig shopping center, express atm   branch located?","khovd province, jargalant, alag tolgoi, khishig shopping center","khishig shopping center, express atm  ","khovd province, jargalant, alag tolgoi, khishig shopping center",mon-sun 8am-11pm,1800-1888,08:00,23:00
"what is the name of the branch located at cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies?","cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies",sansar branch,"cre llc building, 13th khoroolol , 3th khoroo, bayanzurkh district
what3words: /// iterative.pave.clarifies","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"where is the zavkhan branch, express atm branch located?","zavkhan province, uliastai, jinst, xac bank zavkhan branch","zavkhan branch, express atm","zavkhan province, uliastai, jinst, xac bank zavkhan branch",mon-sat 8am-11pm,1800-1888,08:00,23:00
is the mandakh market supermarket атм branch open on sunday?,yes,mandakh market supermarket атм,"nalaikh, 1st khoroo, mandakh market supermarket",mon-sun 8am-11pm,1800-1888,08:00,23:00
where is the orkhon market atm branch located?,"micro-region #19, peace avenue, orkhon market",orkhon market atm,"micro-region #19, peace avenue, orkhon market","mon-sun: 10:00-20:00
thu: closed ",nan,10:00,20:00
"where is the da khuree, one-stop service center atm branch located?","bayanzurkh district, 17th khoroo, da khuree auto market, one-stop service center ","da khuree, one-stop service center atm","bayanzurkh district, 17th khoroo, da khuree auto market, one-stop service center ",tue-sun 10am-7pm,1800-1888,10:00,19:00
what are the opening hours for ulaanbaatar suvilal atm branch?,"opening time: 00:00, closing time: 23:59",ulaanbaatar suvilal atm,"micro-region #11, ulaanbaatar suvilal",24 hour,1800-1888,00:00,23:59
"is the bayalag-undraa market, express atm-3 branch open on sunday?",yes,"bayalag-undraa market, express atm-3","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","mon-sun 8am-8pm  
tuesday closed",1800-1888,08:00,20:00
what are the opening hours for mobile atm branch?,"opening time: 00:00, closing time: 23:00",mobile atm,belkhi zuslan,24,1800-1888,00:00,23:00
"what is the name of the branch located at tsogttsetsii province, uguumur 4th bag, minimarket ?","tsogttsetsii province, uguumur 4th bag, minimarket ",tsogttsetsii atm,"tsogttsetsii province, uguumur 4th bag, minimarket ",24 hour,1800-1888,00:00,23:59
is the bayan-ulgiy branch branch open on sunday?,yes,bayan-ulgiy branch,"2nd floor, mjs tower, 5th bag, ulgii soum
what3words: /// adhesive.bluntly.acrobat","monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",1800-1888,08:30,16:30
"what are the opening hours for unur branch, express bank атм branch?","opening time: 06:00, closing time: 23:59","unur branch, express bank атм","17th khoroo, 1st microdistrict, unur branch xac bank ",mon-sun 6am-12pm,1800-1888,06:00,23:59
what are the opening hours for sansar supermarket атм branch?,"opening time: 09:00, closing time: 23:59",sansar supermarket атм,"11th khoroo, bayanzurkh point, eastern side of petrovis gas station, sansar supermarket",mon-sun 9am-12pm,nan,09:00,23:59
is the guyen mini market atm branch open on sunday?,yes,guyen mini market atm,"bayanzurkh district, 28 th khoroo, the gachuurt road, khujirbulan, guyen mini market ",mon-sun 8am-11pm,1800-1888,08:00,23:00
