Question,Answer,branch_name,address,phone,timetable,open_time,close_time,question,answer,metadata
what are the opening hours of elbeg supermarket атм on monday?,closed,elbeg supermarket атм,"28th khoroo, north of 112 highschool, elbeg supermarket",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what are the opening hours of bayan-undur branch on monday?,8:30am - 04:30pm,bayan-undur branch,"1st floor of erdenet departmentt store, erdenet hot, bayan-undur soum
what3words: /// armrest.broth.pirate",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what time does altjin bumbugur, express atm close?",19:59,"altjin bumbugur, express atm","2nd committee, ikh toiruu street, chingeltei district, altjin bumbugur market, 1st floor ",1800-1888,"mon-sun 10am-12pm
wednesday closed",10:00,19:59,,,
what time does demchig khairkhan mini market atm open?,09:00,demchig khairkhan mini market atm,"chingeltei district, intersection of shadvilan camp, demchig mini market
",1800-1888,mon-sun 9am-12 pm,09:00,23:59,,,
what are the weekly opening hours of zam zuur supermarket  атм?,mon-sun 8am-12pm,zam zuur supermarket  атм,"1st khoroo, zam zuur supermarket ",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what is the address of oyu center atm?,"arvaikheer sum, oyu center",oyu center atm,"arvaikheer sum, oyu center",1800-1888,24 hour,00:00,23:59,,,
what time does bayanzurkh trade center atm close?,22:00,bayanzurkh trade center atm,"micro-region #16, district #16, bayanzurkh trade center",,"wednesday closed
mon-sun: 10:00-22:00  ",10:00,22:00,,,
can i visit kharguijin market on sunday?,closed,kharguijin market,"13 khoroo, khailaast, orgil supermarket ",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what time does bulgan branch close?,16:30,bulgan branch,"xacbank building, 1-119, khanddorj avenue, 6th bag, bulgan soum
what3words: /// lugging.motherhood.votes",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the phone number of xacbank bayanmongol branch, express bank атм?",1800-1888,"xacbank bayanmongol branch, express bank атм","bayanzurkh district, 26th khoroo, khunnu street, elizabeth town,xacbank bayanmongol branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what is the address of bayangol duureg zdtg atm?,"2rd khoroo, bayangol duureg zdtg",bayangol duureg zdtg atm,"2rd khoroo, bayangol duureg zdtg",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"is grand plaza, express atm  open on saturday?",closed,"grand plaza, express atm ","2nd khoroo, grand plaza",1800-1888,mon-sun 10am-21pm,10:00,21:00,,,
what time does bor-undur close?,16:30,bor-undur,"xacbank building, 2nd bag, bor-undur soum
what3words: /// cadet.narrated.zygotes",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of steppe arena, express bank atm?",mon-sun 24 hour open,"steppe arena, express bank atm","steppe arena, express bank atm",1800-1888,mon-sun 24 hour open,07:00,23:59,,,
what time does infectious hospital administration building атм open?,08:00,infectious hospital administration building атм,"14th khoroo, infectious hospital administration building ",1800-1888,mon-sun 8pm-12pm,08:00,23:59,,,
what are the weekly opening hours of ikh ord lobby?,mon-sun: 24 hour,ikh ord lobby,"micro-region # 14, ikh ord tuv",1800-1888,mon-sun: 24 hour,06:00,23:59,,,
is songinokhairkhan branch lobby crm-atm-2 open on saturday?,closed,songinokhairkhan branch lobby crm-atm-2,"12th khoroo, 1st microdistrict, songinokhairkhan branch xac bank ",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what time does kharkhorin market express atm open?,09:00,kharkhorin market express atm,"micro-region # 15, district #1, peace avenue, kharkhorin market",1800-1888,"monday closed.
tue-sun: 9:00-19:00 ",09:00,19:00,,,
what are the weekly opening hours of uliastai shar market атм?,mon-sun 8am-11pm,uliastai shar market атм,"8th khoroo, tenger plaza center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
is tsogjavkhlan atm open on saturday?,closed,tsogjavkhlan atm,"dalanzadgad sum,  ",1800-1888,9am-12pm,09:00,23:59,,,
what is the address of xacbank erdenet branch express atm?,"erdenet city, xacbank erdenet branch",xacbank erdenet branch express atm,"erdenet city, xacbank erdenet branch",1800-1888,"mon-fri: 09:00-18:00
sat: 11:00-17:00
sunday closed",08:00,23:00,,,
"what time does khan-uul branch, express bank  атм close?",23:59,"khan-uul branch, express bank  атм","2nd khoroo, chinggis avenue, khan-uul branch xac bank ",1800-1888,mon-sun 24 hour,07:00,23:59,,,
what time does bayan-ulgiy branch close on weekdays?,16:30,bayan-ulgiy branch,"2nd floor, mjs tower, 5th bag, ulgii soum
what3words: /// adhesive.bluntly.acrobat",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does darhan branch close on weekdays?,16:30,darhan branch,"xacbank building, 8th bag, darhan soum
what3words: /// canes.mountainous.whimpered",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of minii supermarket atm?,"12th khoroo, 1st microdistrict, sappora minii supermarket ",minii supermarket atm,"12th khoroo, 1st microdistrict, sappora minii supermarket ",1800-1888,mon-sun 8am-10pm,08:00,22:00,,,
is infectious hospital administration building атм open on saturday?,closed,infectious hospital administration building атм,"14th khoroo, infectious hospital administration building ",1800-1888,mon-sun 8pm-12pm,08:00,23:59,,,
"what time does sansar branch, express bank атм open?",00:00,"sansar branch, express bank атм","micro-region #3, peace avenue, district #13, xacbank bayanzurkh branch",1800-1888,mon-sun: 06:00-01:00,00:00,23:59,,,
what time does narantuul chandmani center express atm close on weekdays?,23:59,narantuul chandmani center express atm,"micro-region #14, narni rd, left side of narantuul market",,"tuesday closed.
mon-sun: open 24 hours",07:00,23:59,,,
what are the weekly opening hours of hongor branch?,"monday - friday: 10:00am-6:00pm
saturday, sunday: сlosed",hongor branch,"2nd floor, tselmeg ugluu shopping center, 1st bag, bayankhongor soum
what3words: /// roofing.bluffed.uproots",1800-1888,"monday - friday: 10:00am-6:00pm
saturday, sunday: сlosed",10:00,18:00,,,
what are the opening hours of zuunmod atm on monday?,closed,zuunmod atm,"zuunmod sum, xacbank branch",1800-1888,24 hour,00:00,23:59,,,
what is the phone number of tsogjavkhlan atm?,1800-1888,tsogjavkhlan atm,"dalanzadgad sum,  ",1800-1888,9am-12pm,09:00,23:59,,,
"what is the address of mungun taiga center, express atm?","12th khoroo, 6th micro district, mungun taiga center","mungun taiga center, express atm","12th khoroo, 6th micro district, mungun taiga center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what are the weekly opening hours of ikh ord lobby crm?,mon-sun 24 hours,ikh ord lobby crm,"14th khoroo, namyanju street, ikh ord shopping center, xacbank ikh ord branch",1800-1888,mon-sun 24 hours,00:00,23:59,,,
"is terelj, zdtg open on saturday?",closed,"terelj, zdtg","nalaikh, west of terelj hotel, zdtg",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
"what are the opening hours of e-mart chinggis, express atm-2 on monday?",closed,"e-mart chinggis, express atm-2","1st khoroo, 12th microdistrict, tokyo street, e-mart chinggis 2nd floor",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what is the phone number of narlag denj market atm?,18001888,narlag denj market atm,"11st khoroo, sambalkhundev road, narlag denj market",18001888,mon-sun 8am-6pm,08:00,18:00,,,
what is the address of dundgovi branch?,"xacbank building, buyannemeh street-18, 7th bag, mandalgobi soum
what3words: /// tournaments.expertly.pillbox",dundgovi branch,"xacbank building, buyannemeh street-18, 7th bag, mandalgobi soum
what3words: /// tournaments.expertly.pillbox",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"can i visit choir baldanzasag market, express атм on sunday?",closed,"choir baldanzasag market, express атм","govisumber province, sumber, baldanzasag shopping center ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what are the weekly opening hours of e-mart sky centre atm?,mon-sun 09:00-22:00,e-mart sky centre atm,"micro-region #1, tokio str, chinggis khaan hotel, sky centre",,mon-sun 09:00-22:00,09:00,22:00,,,
what is the address of kharkhorin market express atm?,"micro-region # 15, district #1, peace avenue, kharkhorin market",kharkhorin market express atm,"micro-region # 15, district #1, peace avenue, kharkhorin market",1800-1888,"monday closed.
tue-sun: 9:00-19:00 ",09:00,19:00,,,
what time does kharkhorin atm close on weekdays?,23:00,kharkhorin atm,"kharkhorin sum, naranbulag mart",1800-1888,9am-11pm hour,09:00,23:00,,,
"what is the address of nalaikh branch, express bank ?","nalaikh, 2nd khoroo, davaajav street, xac bank nalaikh branch ","nalaikh branch, express bank ","nalaikh, 2nd khoroo, davaajav street, xac bank nalaikh branch ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what are the opening hours of shine orchin branch on monday?,8:30am - 04:30pm,shine orchin branch," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit bayan burd shopping center on sunday?,closed,bayan burd shopping center,"zavkhan province, uliastai, jinst, bayan burd shopping center",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
is od shopping center атм open on saturday?,closed,od shopping center атм,"orkhon province, bayan-undur , urtbulag, 5th mikr, od shopping center",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
what are the opening hours of organic market on monday?,closed,organic market," 2nd khoroo, west of ulaanbaatar sanatorium, organic market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
what time does unur branch close?,16:30,unur branch,"building, аос-43/b, 1st khoroolol, 17th horoo, moscow avenue, songinokhairkhan 
what3words: /// swooning.moderated.unique",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what are the weekly opening hours of nalaikh branch, express bank ?",mon-sun 24 hour,"nalaikh branch, express bank ","nalaikh, 2nd khoroo, davaajav street, xac bank nalaikh branch ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what is the address of monel funtik grocery store атм?,"5th khoroo, baruun altan ulgii street, monel funtik grocery store ",monel funtik grocery store атм,"5th khoroo, baruun altan ulgii street, monel funtik grocery store ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
"what are the opening hours of sutain buyant zakh,express bank атм on monday?",closed,"sutain buyant zakh,express bank атм","18th khoroo, moscow road, sutain buyant zakh",1800-1888,mon-sun 9-18 hour,09:00,17:59,,,
is ulaanbaatar railway staion atm open on saturday?,closed,ulaanbaatar railway staion atm,"micro-region #1, narnii rd, ulaanbaatar railway staion",,mon-sun 08:00-23:00,08:00,23:00,,,
"can i visit bor-undur branch, express атм on sunday?",closed,"bor-undur branch, express атм","khentii province, bor-undur, bor-undur branch xac bank",1800-1888,mon-sun 24 hour,00:00,23:59,,,
what time does khuchitshonkhor market  atm close on weekdays?,17:00,khuchitshonkhor market  atm,"11st khoroo, sambalkhundev road, khuchitshonkhor market",1800-1888,mon-sun 6am-5pm,06:00,17:00,,,
is iron хүнсний дэлгүүр атм open on saturday?,closed,iron хүнсний дэлгүүр атм,"6th khoroo, iron supermarket ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
can i visit dornogovi branch extension on sunday?,closed,dornogovi branch extension,"2nd floor of pharmacy at brau church, 4th bag, sainshand soum, 
what3words: /// compels.tolerates.disapproves",70522221,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit dornod narlag delguur атм on sunday?,closed,dornod narlag delguur атм,"dornod province, kherlen, chita street, narlag delguur dornod ",1800-1888,mon-sun 9:30am-10pm,09:30,22:00,,,
is 21 trade center atm open on saturday?,closed,21 trade center atm,"micro-region # 19, uildverchidiin evlel str, district #21, 21 trade center",1800-1888,"wednesday: closed
mon-sun: 10:00-22:00 ",10:00,22:00,,,
can i visit bat-undral arivjikh mini market atm on sunday?,closed,bat-undral arivjikh mini market atm,"3rd khoroo, tolgoit road, songinokhairkhan district, infront of 65th school, bat-undral arivjikh mini market ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
"what is the phone number of information communication center, express atm ?",1800-1888,"information communication center, express atm ","bayan-ulgii province, ulgii, mjs tower ",1800-1888,mon-sun 9am-8pm,09:00,20:00,,,
what is the address of bayanzurkh 05 branch lobby crm-atm-1?,"13rd khoroo, enkhtaivan avenue, 92a-1",bayanzurkh 05 branch lobby crm-atm-1,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what is the address of bayankhongor branch?,"1st floor of building 436, 4th street, nomgon lubsandanzanjantsan avenue, 1st bag, bayankhongor soum
 what3words: /// corroding.frighten.redwoods",bayankhongor branch,"1st floor of building 436, 4th street, nomgon lubsandanzanjantsan avenue, 1st bag, bayankhongor soum
 what3words: /// corroding.frighten.redwoods",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
is kharkhorin market express atm open on saturday?,closed,kharkhorin market express atm,"micro-region # 15, district #1, peace avenue, kharkhorin market",1800-1888,"monday closed.
tue-sun: 9:00-19:00 ",09:00,19:00,,,
"can i visit 22 tovchoo m mart, express bank atm on sunday?",closed,"22 tovchoo m mart, express bank atm","32st khoroo, 22 tovchoo m mart",1800-1888,mon-sun 08-22 hour,07:00,21:59,,,
what is the phone number of minii delguur-shar khad atm?,1800-1888,minii delguur-shar khad atm,"9th khoroo, shar khad, minii delguur",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
what are the opening hours of infectious hospital administration building атм on monday?,closed,infectious hospital administration building атм,"14th khoroo, infectious hospital administration building ",1800-1888,mon-sun 8pm-12pm,08:00,23:59,,,
what time does aurora hotel close?,00:00,aurora hotel,"4th khoroo, peace avenue aurora hotel",1800-1888,24 цаг,00:00,00:00,,,
what are the weekly opening hours of uvs branch?,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",uvs branch,"xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of tenger plaza shopping center атм?,"8th khoroo, tenger plaza center",tenger plaza shopping center атм,"8th khoroo, tenger plaza center",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
"what time does grand plaza, express atm  open?",10:00,"grand plaza, express atm ","2nd khoroo, grand plaza",1800-1888,mon-sun 10am-21pm,10:00,21:00,,,
what time does shine orchin branch close?,16:30,shine orchin branch," building of ""darkhan teever"" co.,ltd, 6th bag, darkhan soum
what3words: /// edicts.constitutions.palettes",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
can i visit bayanzurkh 05 branch lobby crm-atm-2 on sunday?,closed,bayanzurkh 05 branch lobby crm-atm-2,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
can i visit tanil supermarket атм on sunday?,closed,tanil supermarket атм,"7th khoroo, bayankhoshuu street, tanil supermarket",1800-1888,mon-sun 9am-11pm,09:00,23:00,,,
what are the opening hours of choir branch on monday?,8:30am - 4:30pm,choir branch,"apartment 4, 3rd bag, sumber soum, gobisumber aimag 
what3words: /// feline.stopover.handstands",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of bayanzurkh trade center atm on monday?,closed,bayanzurkh trade center atm,"micro-region #16, district #16, bayanzurkh trade center",,"wednesday closed
mon-sun: 10:00-22:00  ",10:00,22:00,,,
what is the address of huchit shonhor branch?,"khuchit shonhor llc building, 11th khoroo, chingeltei district
what3words: /// cabs.choppers.disprove",huchit shonhor branch,"khuchit shonhor llc building, 11th khoroo, chingeltei district
what3words: /// cabs.choppers.disprove",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
"what is the address of xacbank ard branch tsetseg tuv, express bank atm?","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch","xacbank ard branch tsetseg tuv, express bank atm","1st khoroo, baga toiruu street, chingeltei district, xacbank ard branch",1800-1888,mon-sun 8-20 hour,08:00,20:00,,,
what time does organic market close on weekdays?,20:00,organic market," 2nd khoroo, west of ulaanbaatar sanatorium, organic market ",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
"what is the phone number of central square branch, express bank атм?",1800-1888,"central square branch, express bank атм","8th khoroo, east of sukhbaatar square, central square branch",1800-1888,mon-sun 24 hour,07:00,23:59,,,
"is dornod branch, express атм open on saturday?",closed,"dornod branch, express атм","dornod province, kherlen, chit street, xacbank ",1800-1888,mon-sun 24 hour,00:00,23:59,,,
"can i visit khentii evt market, express atm on sunday?",closed,"khentii evt market, express atm","khentii province, kherlen, east zone market, a bloc ",1800-1888,mon-sun 9am-7pm,09:00,19:00,,,
"what are the weekly opening hours of information communication center, express atm ?",mon-sun 9am-9pm,"information communication center, express atm ","tuv province, zuunmod, information communication center",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
"what is the address of bayalag-undraa market, express atm-1?","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ","bayalag-undraa market, express atm-1","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ",1800-1888,"mon-sun 8am-8pm  
tuesday closed",08:00,20:00,,,
what time does janjin club atm open?,00:00,janjin club atm,"micro-region #12, janjin club",,24 hour,00:00,23:59,,,
what are the weekly opening hours of tanil supermarket атм?,mon-sun 9am-11pm,tanil supermarket атм,"7th khoroo, bayankhoshuu street, tanil supermarket",1800-1888,mon-sun 9am-11pm,09:00,23:00,,,
what is the address of khailaast 84 shopping center атм?,"15th khotoo, khailaast old bus station, 84 shoppng center ",khailaast 84 shopping center атм,"15th khotoo, khailaast old bus station, 84 shoppng center ",1800-1888,mon-sun 9pm-11pm,09:00,23:00,,,
what time does xacbank orgil branch express atm close?,22:00,xacbank orgil branch express atm,"micro-region #1, zaisan road, orgil center, xacbank orgil branch",1800-1888,mon-sun 9:00-22:00,09:00,22:00,,,
what time does khutul center atm open?,10:00,khutul center atm,"11st khoroo, khuvisgal road, bayakhoshuu khutul center",1800-1888,mon-sun 10pm-11pm,10:00,23:00,,,
what time does khangai region shopping center атм close?,19:00,khangai region shopping center атм,"orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",1800-1888,mon-sun 10am-7pm,10:00,19:00,,,
what are the opening hours of bayanmongol branch on monday?,8:30am - 04:30pm,bayanmongol branch,"elizabeth town-214, hunnu street, 26th horoo, bayanzurkh district
what3words: /// provide.needed.gossiped",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the opening hours of first maternity hospital atm on monday?,closed,first maternity hospital atm,"1st khoroo, first maternity hospital",1800-1888,mon-sun: 24 hours,00:00,23:59,,,
"what is the address of tedy 2 center, express atm ?","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center","tedy 2 center, express atm ","14th khoroo, 3rd microdistrict, l.enebish avenue, tedy 2 center",1800-1888,mon-sun 10am-8pm,10:00,20:00,,,
"what is the phone number of ulaangom branch, express atm ?",1800-1888,"ulaangom branch, express atm ","uvs province, ulaangom, xac bank ulaangom branch ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
what is the address of sansar supermarket express atm?,"micro-region #18,  district #13, manlai baatar damdinsuren str., sansar supermarket",sansar supermarket express atm,"micro-region #18,  district #13, manlai baatar damdinsuren str., sansar supermarket",1800-1888,mon-sun 09:00-22:00,09:00,22:00,,,
what are the opening hours of bat-undral arivjikh mini market atm on monday?,closed,bat-undral arivjikh mini market atm,"3rd khoroo, tolgoit road, songinokhairkhan district, infront of 65th school, bat-undral arivjikh mini market ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what time does tosontsengel branch close?,16:30,tosontsengel branch,"xacbank building, hudaldaa street, tosontsengel soum
what3words: /// recapture.early.geek",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what time does depot station atm for employee open?,09:00,depot station atm for employee,"3-р хороо, нарны зам, саруул зах замын урд, зүтгүүрийн депо ",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
"what is the phone number of choir baldanzasag market, express атм?",1800-1888,"choir baldanzasag market, express атм","govisumber province, sumber, baldanzasag shopping center ",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
can i visit tsetserleg express atm on sunday?,closed,tsetserleg express atm,tsetserleg sum. xacbank branch,1800-1888,24 hour,00:00,23:59,,,
what is the address of arhangai branch?,"xacbank building, 3rd bag, erdenebulgan soum
what3words: /// throttles.unseasoned.aligns",arhangai branch,"xacbank building, 3rd bag, erdenebulgan soum
what3words: /// throttles.unseasoned.aligns",1800-1888,"monday - friday: 8:30am-04:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what are the weekly opening hours of darkhan depatrment store. express atm?,mon-sun 8:30am-10pm,darkhan depatrment store. express atm,"darkhan-uul province, darkhan, darkhan department store",1800-1888,mon-sun 8:30am-10pm,09:00,22:00,,,
what is the phone number of khusel center atm?,1800-1888,khusel center atm,"micro-region #14, khandgait str,  7-n buudal, khusel center",1800-1888,mon-sun 08 am-12 pm,08:00,23:59,,,
"what is the address of ubm center, express atm?","khuvsgul province, murun, ubm shopping center","ubm center, express atm","khuvsgul province, murun, ubm shopping center",1800-1888,mon-sun 9am-5pm,00:00,23:59,,,
what time does nomin department store атм open?,08:30,nomin department store атм,"14th khoroo, 3rd microdistrict, nomin department store ",1800-1888,mon-sun 8:30am-10:30pm,08:30,22:30,,,
"what time does mergen 2 supermarket, express atm  close on weekdays?",23:00,"mergen 2 supermarket, express atm ","bayanlkhongor province, bayankhongor, mergen 2 supermarket",1800-1888,mon-sun 7:30am-11pm,07:30,23:00,,,
"what are the opening hours of esun-erdene market, express atm  on monday?",closed,"esun-erdene market, express atm ","orkhon province, bayan-undur, oyut, esun erdene market ",1800-1888,mon-sun 9:30am-7:30pm,09:30,19:30,,,
what are the opening hours of ikh toiruu khudaldaanii tuv атм on monday?,closed,ikh toiruu khudaldaanii tuv атм,"9st khoroo, ikh toiruu, market",1800-1888,mon-sun 9am-12pm,09:00,20:00,,,
what is the phone number of tenger plaza shopping center атм?,1800-1888,tenger plaza shopping center атм,"8th khoroo, tenger plaza center",1800-1888,mon-sun 8am-12pm,08:00,23:59,,,
what is the address of sutai university атм?," 5th khoroo, enkhtaivan avenue, kino uildver, sutai university",sutai university атм," 5th khoroo, enkhtaivan avenue, kino uildver, sutai university",1800-1888,mon-sun 9am-9pm,09:00,21:00,,,
"what are the opening hours of old bumbugur, express atm on monday?",closed,"old bumbugur, express atm","2nd khoroo, ikh toiruu, old bumbugur",1800-1888,tue-sun 9am-8pm,09:00,20:00,,,
"what time does international shopping center, express atm  close on weekdays?",23:59,"international shopping center, express atm ","selenge province, sukhbaatar, international shopping center",1800-1888,mon-sun 9am-7pm,09:00,23:59,,,
"what are the opening hours of bayalag-undraa market, express atm-3 on monday?",closed,"bayalag-undraa market, express atm-3","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ",1800-1888,"mon-sun 8am-8pm  
tuesday closed",08:00,20:00,,,
"what are the weekly opening hours of tumbaash center, express atm ?",mon-sun 8am-8pm,"tumbaash center, express atm ","7th khoroo, bayankhoshuu old bus station, tumbaash center",1800-1888,mon-sun 8am-8pm,08:00,20:00,,,
"what is the phone number of bayalag-undraa market, express atm-2?",1800-1888,"bayalag-undraa market, express atm-2","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ",1800-1888,"mon-sun 8am-8pm  
tuesday closed",08:00,20:00,,,
what time does norjin minii delguur atm close on weekdays?,20:30,norjin minii delguur atm,"micro-region #4, district #15, peace avenue, norjin minii delguur",,mon-sun: 08:30-20:30,08:30,20:30,,,
can i visit khangai region shopping center атм on sunday?,closed,khangai region shopping center атм,"orkhon province, bayan-undur, uurkhaichin, khangai region shopping center ",1800-1888,mon-sun 10am-7pm,10:00,19:00,,,
what are the weekly opening hours of bayanzurkh 05 branch lobby crm-atm-2?,mon-sun 24 hours,bayanzurkh 05 branch lobby crm-atm-2,"13rd khoroo, enkhtaivan avenue, 92a-1",1800-1888,mon-sun 24 hours,00:00,23:59,,,
what time does darkhan railway station atm open?,07:00,darkhan railway station atm,"darkhan city, railway station",1800-1888,mon-sun: 08:30-22:00,07:00,23:59,,,
is buyant-ukhaa market atm open on saturday?,closed,buyant-ukhaa market atm,"micro-region #9, nisekh district, buyant-ukhaa market",1800-1888,mon-sun: 10:00-21:00,10:00,21:00,,,
"can i visit western region shopping center, express atm  on sunday?",closed,"western region shopping center, express atm ","zavkhan province, uliastai, bogdiin gol, western region shopping center ",1800-1888,mon-sat 9am-8pm,09:00,20:00,,,
what time does sansar supermarket атм close on weekdays?,23:59,sansar supermarket атм,"4th khoroo, naadamchdiin road, yarmag, sansar supermarket ",1800-1888,mon-sun 9am-12pm,09:00,23:59,,,
what time does baruun salaa ulziit khairkhan atm close?,22:00,baruun salaa ulziit khairkhan atm," district #24, bayankhoshuu, baruun salaa ",1800-1888,mon-sun: 08:00-22:00,08:00,22:00,,,
what is the phone number of bidnii supermarket atm?,1800-1888,bidnii supermarket atm,"songinokhairkhan, 1st district, 30th khoroo, bidnii supermarket",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"is mungun taiga center, express atm open on saturday?",closed,"mungun taiga center, express atm","12th khoroo, 6th micro district, mungun taiga center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
"what time does bayalag-undraa market, express atm-2 open?",08:00,"bayalag-undraa market, express atm-2","14th khoroo, sun road, bayanzurkh district, bayalag undraa center ",1800-1888,"mon-sun 8am-8pm  
tuesday closed",08:00,20:00,,,
what time does darkhan magnolia атм close on weekdays?,23:59,darkhan magnolia атм,"darkhan-uul province, darkhan, darkhan magnolia",1800-1888,mon-sun 24 hour,00:00,23:59,,,
can i visit uvs branch on sunday?,closed,uvs branch,"xacbank building, 11th bag, ulaangom soum
what3words: /// quibble.erupt.croaking",1800-1888,"monday - friday: 8:30am-4:30pm
saturday, sunday: сlosed",08:30,16:30,,,
what is the address of ikh mongol branch?,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging",ikh mongol branch,"ikh mongol plaza 1st floor, 11th khoroo, khan-uul district
what3words: ///moves.sweeter.blogging",1800-1888,"monday - friday: 9:00am-5:00pm
saturday, sunday: сlosed",09:00,17:00,,,
what time does darkhan nekhii shopping center атм close?,22:00,darkhan nekhii shopping center атм,"orkhon province, bayan-undur, ikh zaluu, darkhan nekhii shopping center ",1800-1888,mon-sun 10am-10pm,10:00,22:00,,,
"what are the opening hours of 7th station buren, express atm on monday?",closed,"7th station buren, express atm","14th khoroo, chingeltei avenue , 7th station, khusel center",1800-1888,mon-sun 8am-11pm,08:00,23:00,,,
is arkhangai buren hypermarket atm open on saturday?,closed,arkhangai buren hypermarket atm,arkhangai tsetserleg,,mon-sun 10:00-21:00,10:00,21:00,,,
"what is the phone number of western region shopping center, express atm ?",1800-1888,"western region shopping center, express atm ","bayanlkhongor province, bayankhongor, western region shopping center ",1800-1888,mon-sun 10am-18pm,10:00,18:00,,,
"what are the weekly opening hours of e-mart chinggis, express atm-2?",mon-sun 9am-10pm,"e-mart chinggis, express atm-2","1st khoroo, 12th microdistrict, tokyo street, e-mart chinggis 2nd floor",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
what time does gegee mini market atm close?,22:00,gegee mini market atm,"denjiin 1000 white buildings, gegee mini market ",1800-1888,mon-sun 9am-10pm,09:00,22:00,,,
"what time does nomin supermarket, express atm   open?",09:00,"nomin supermarket, express atm  ","11st khoroo, river street, nomin supermarket ",,mon-sun 9am-10pm,09:00,23:59,,,
